Designator,Mid X,Mid Y,Rotation,Layer
C1,90.3,-49.0,90.0,bottom
C10,82.45,-63.54,90.0,bottom
C2,90.02,-39.89,0.0,bottom
C3,90.17,-42.52,270.0,bottom
C4,83.38,-74.99,180.0,bottom
C5,70.09,-72.8,90.0,bottom
C6,80.7,-83.0,90.0,bottom
C7,87.2,-83.0,90.0,bottom
C8,145.475189,-45.725189,180.0,bottom
C9,67.34,-67.17,0.0,bottom
D1,65.2175,-77.37,0.0,bottom
D25,75.85,-78.2,180.0,bottom
D26,71.25,-77.55,0.0,bottom
D27,83.7,-85.8,0.0,bottom
J1,70.25,-85.5625,0.0,bottom
J2,111.8,-40.25,0.0,top
J3,126.8,-39.091372,180.0,bottom
R1,90.3,-45.85,270.0,bottom
R10,63.35,-61.18,90.0,bottom
R11,65.69,-42.29,90.0,bottom
R2,87.3,-85.8,0.0,bottom
R3,81.85,-80.19,180.0,bottom
R4,62.4,-80.75,90.0,bottom
R5,63.95,-80.7625,90.0,bottom
R6,88.2125,-70.8,180.0,bottom
R7,88.2,-66.7,0.0,bottom
R8,67.74,-63.95,270.0,bottom
R9,63.36,-65.55,90.0,bottom
RN1,145.840874,-43.375189,270.0,bottom
S1,78.15,-63.88,0.0,bottom
S2,72.045,-63.88,180.0,bottom
SW1,71.392071,-56.642929,0.0,top
SW10,79.9,-83.0,0.0,top
SW11,130.9,-74.2,0.0,top
SW12,130.9,-83.0,0.0,top
SW13,88.412071,-56.642929,0.0,top
SW14,88.42,-65.4,0.0,top
SW15,88.42,-74.2,0.0,top
SW16,88.4,-83.0,0.0,top
SW17,139.412071,-56.642929,0.0,top
SW18,139.42,-65.4,0.0,top
SW19,96.912071,-56.642929,0.0,top
SW2,71.4,-65.4,0.0,top
SW20,96.92,-65.4,0.0,top
SW21,96.9,-74.2,0.0,top
SW22,96.9,-83.0,0.0,top
SW23,139.42,-74.2,0.0,top
SW24,139.4,-83.0,0.0,top
SW25,105.412071,-56.642929,0.0,top
SW26,105.42,-65.4,0.0,top
SW27,105.42,-74.2,0.0,top
SW28,105.4,-83.0,0.0,top
SW29,147.892071,-56.642929,0.0,top
SW3,71.42,-74.2,0.0,top
SW30,147.92,-65.4,0.0,top
SW31,113.912071,-56.642929,0.0,top
SW32,113.92,-65.4,0.0,top
SW33,113.92,-74.2,0.0,top
SW34,113.88,-83.0,0.0,top
SW35,147.92,-74.2,0.0,top
SW37,122.392071,-56.642929,0.0,top
SW38,122.42,-65.4,0.0,top
SW39,122.4,-74.2,0.0,top
SW40,122.4,-83.0,0.0,top
SW43,63.6,-50.9,90.0,bottom
SW5,130.892071,-56.642929,0.0,top
SW6,130.9,-65.4,0.0,top
SW7,79.912071,-56.642929,0.0,top
SW8,79.9,-65.4,0.0,top
SW9,79.92,-74.2,0.0,top
U1,77.75,-47.29,0.0,bottom
U2,75.85,-72.7,180.0,bottom
U3,83.9,-83.0,180.0,bottom
U4,64.69,-71.79,0.0,bottom
U5,151.665874,-44.974874,270.0,bottom
U6,91.71,-76.54,270.0,bottom
Y1,70.83,-67.55,180.0,bottom
