Designator,Mid X,Mid Y,Rotation,Layer
C1,139.2,-105.05,270.0,top
C2,126.3,-100.8,90.0,top
C3,128.1,-105.05,90.0,top
C4,109.7,-99.95,90.0,top
C5,127.45,-94.5,180.0,top
C6,121.15,-98.3,0.0,top
C7,126.3,-96.6,0.0,top
C8,120.55,-100.5,0.0,top
D1,129.9,-99.15,90.0,top
J1,114.946,-93.57725,0.0,top
J2,115.35,-109.5,270.0,top
L1,136.02,-98.71,180.0,top
R1,129.9,-105.05,270.0,top
R2,132.9,-105.05,90.0,top
R3,105.8,-104.55,0.0,top
R4,105.8,-106.55,0.0,top
R5,127.4,-92.4,0.0,top
U1,136.01,-103.98,180.0,top
