Designator,Footprint,Quantity,Value,LCSC Part #
"BAT+1, GND1",TestPoint_Pad_D1.5mm,2,TestPoint_Flag,
C1,CAPC2012X135N,1,1uF,CL21B105KBFNNNE
"C10, C2",CAPC2012X95N,2,100nF,CC0805KRX7R9BB104
C3,CAPC2012X140N,1,22uF,CL21A226MAQNNNE
C4,CAPPM3216X180N,1,10uF,TAJA106K016RNJ
C5,CAPPM3528X210N,1,22uF,TCJB226M025R0150E
"C6, C7",0805,2,4.7uF,CL21A475KAQNNNE
C8,0402,1,0.1uF,CL05B104KO5NNNC
C9,0603,1,10uF,CL10A106KP8NNNC
D1,D_SMA,1,SMAJ5.0A,
D25,SOT95P237X112-3N,1,IRLML6302TRPBF,IRLML6302TRPBF
D26,D_SOD-123,1,1N4148W,1N4148W
D27,0805,1,KT-0805Y,KT-0805Y
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,GT-USB-7010ASV
J2,128x32 I2C OLED,1,128x32_I2C_OLED,
J3,AFC01-S12FCA-00,1,Conn_01x12_Pin,AFC01-S12FCA-00:AFC01-S12FCA-00
R1,0805,1,10K,0805W8F1002T5E
R2,0805,1,470R,0805W8F4700T5E
R3,0805,1,2k,0805W8F2001T5E
"R4, R5",0603,2,5.1k,0603WAF5101T5E
"R6, R7",1812,2,100K,FRC1812F1003TS
R8,1206,1,100R,1206W4F1000T5E
RN1,R_Array_Concave_4x0603,1,4x10k,4D03WGJ0103T5E
"S1, S2",SW_TS-1088-AR02016,2,TS-1088-AR02016,TS-1088-AR02016
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW37, SW38, SW39, SW40, SW5, SW6, SW7, SW8, SW9",contact_pad_SINGLE,38,~,
SW43,EVQPUL02K,1,EVQPUL02K,EVQPUL02K
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
U3,SOT-23-5,1,MCP73831-2-OT,MCP73831-2-OT
U4,DBZ0003A-MFG,1,DRV5032FBDBZR,DRV5032FBDBZR
U5,RTW24_2P45X2P45,1,TCA8418RTWR,TCA8418RTWR
U6,BC-4-3PD,1,BC-4-3PD,BC-4-3PD
