Designator,Mid X,Mid Y,Rotation,Layer
C1,57.03,-80.21,270.0,top
C10,115.6625,-78.99,90.0,top
C11,100.72,-78.94,90.0,top
C12,105.73,-82.25,0.0,top
C13,102.3125,-120.74111,180.0,top
C14,103.98,-115.76111,180.0,top
C2,40.78,-83.92,0.0,top
C3,54.43,-82.18,270.0,top
C4,55.4294,-80.20415,90.0,top
C5,53.35,-82.19,90.0,top
C6,54.4194,-80.20415,90.0,top
C7,53.3594,-80.21415,90.0,top
C8,52.28,-82.19,90.0,top
C9,52.2794,-80.21415,90.0,top
D1,112.6725,-80.36,0.0,top
D10,114.29,-90.64,180.0,top
D11,114.28,-86.0,180.0,top
D2,112.67,-82.81,180.0,top
D3,112.6,-77.98,180.0,top
D4,114.36,-124.34,180.0,top
D5,114.36,-118.48,180.0,top
D6,114.31,-112.85,180.0,top
D7,114.3,-107.32,180.0,top
D8,114.32,-101.72,180.0,top
D9,114.29,-96.11,180.0,top
J2,46.9298,-81.24385,0.0,top
J3,121.34,-103.454447,270.0,top
J4,92.65,-124.29,0.0,top
L1,104.7,-79.37,90.0,top
Q1,108.5925,-78.98,90.0,top
R1,109.2625,-82.27,270.0,top
R10,110.84,-90.61,180.0,top
R11,110.75,-86.0,180.0,top
R2,106.76,-85.15,180.0,top
R3,103.89,-122.35111,0.0,top
R4,110.8875,-124.34,180.0,top
R5,110.8675,-118.48,180.0,top
R6,110.8875,-112.85,180.0,top
R7,110.88,-107.33,180.0,top
R8,110.85,-101.7,180.0,top
R9,110.81,-96.09,180.0,top
RN1,101.1925,-118.27111,270.0,top
U1,105.44,-118.50111,0.0,top
