Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_3P_L5.0-W5.0-P3.50-TL,1,Buzzer,C781883
"C1, C26",0603,2,1uF,C15849
"C10, C24",0805,2,10uF,C15850
C11,0603,1,4.7pF,C1669
"C12, C13, C14, C16",1206,4,4.7uF,C29823
"C15, C17",0805,2,.1uF,C28233
"C2, C9",CAPC2012X95N,2,100nF,CC0805KRX7R9BB104
"C25, C8",0402,2,0.1uF,CL05B104KO5NNNC
C3,CAPC2012X140N,1,22uF,CL21A226MAQNNNE
"C4, C5, C6, C7",0805,4,4.7uF,CL21A475KAQNNNE
D1,D_SMA,1,SMAJ5.0A,C78401
D2,D_SOD-123,1,MBR0530,C77336
D25,SOT95P237X112-3N,1,IRLML6302TRPBF,IRLML6302TRPBF
D26,D_SOD-123,1,1N4148W,1N4148W
D27,0805,1,KT-0805Y,KT-0805Y
J1,USB-TYPE-C-SMD_TYPE-C-16P-QTWT,1,USB_C_Receptacle_USB2.0_16P,C5187472
J2,AFC01-S12FCA-00,1,Conn_01x12_Pin,AFC01-S12FCA-00:AFC01-S12FCA-00
J3,FPC-SMD_AFC24-S26FIA [DUAL-SIDE],1,Conn_01x26_Pin,
J4,TF-SMD_503398-1892,1,Micro_SD_Card,C428492
L1,L_Chilisin_BMRx00060630,1,10uH,C5189958
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
"R1, R9",0805,2,10K,0805W8F1002T5E
R10,0603,1,20k,0603WAF2002T5E
"R11, R3",0805,2,2k,0805W8F2001T5E
R12,0805,1,1.8M,C17399
R13,0805,1,205k,C218417
"R15, R2",0805,2,470R,0805W8F4700T5E
"R16, R18",0603,2,47k,C25819
R17,0603,1,68R,C27592
R20,0805,1,680k,C17797
"R4, R5",0603,2,5.1k,0603WAF5101T5E
"R6, R7",0603,2,100K,C25803
R8,1206,1,100R,1206W4F1000T5E
"RN1, RN3",R_Array_Concave_4x0603,2,4x10k,4D03WGJ0103T5E
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW37, SW38, SW39, SW40, SW5, SW6, SW7, SW8, SW9",contact_pad_SINGLE,38,~,
SW43,SW-SMD_TS24CA,1,EVQPUL02K,C393942
"TP1, TP2",TestPoint_Pad_3.0x3.0mm,2,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,SOT-223-3_TabPin2,1,AP2114H-3.3TRG1,AP2114H-3.3TRG1
U3,SOT-23-5,1,MCP73831-2-OT,MCP73831-2-OT
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8563T,C7440
U5,RTW24_2P45X2P45,1,TCA8418RTWR,TCA8418RTWR
U6,BC-4-3PD,1,BC-4-3PD,BC-4-3PD
U7,SOT-23-5,1,TPS61040DBV,C7722
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal_32.768kHz,XKXGI-SUA-32.768K
