Designator,Mid X,Mid Y,Rotation,Layer
BZ1,64.2,-57.0,270.0,bottom
C1,90.5,-47.2,0.0,bottom
C10,70.4,-66.9,270.0,bottom
C11,66.6,-64.4,90.0,bottom
C12,62.8,-62.3,90.0,bottom
C13,101.7,-60.6,0.0,bottom
C14,115.7,-59.2,180.0,bottom
C15,102.25,-58.4,0.0,bottom
C16,106.75,-60.6,180.0,bottom
C17,106.2,-58.4,180.0,bottom
C2,90.5,-45.5,0.0,bottom
C24,150.37,-55.47,0.0,bottom
C25,139.45,-45.2205,90.0,bottom
C26,140.7,-44.9205,270.0,bottom
C3,90.5,-43.6,0.0,bottom
C4,82.1,-71.0,180.0,bottom
C5,72.9,-75.7,0.0,bottom
C6,82.1,-80.7,0.0,bottom
C7,87.22,-86.16,270.0,bottom
C8,145.475189,-45.725189,180.0,bottom
C9,70.7,-63.7,90.0,bottom
D1,76.1,-78.7,0.0,bottom
D2,62.8,-67.0,270.0,bottom
D25,83.9,-73.8,180.0,bottom
D26,77.2,-75.7,0.0,bottom
D27,84.42,-86.73,180.0,bottom
J1,76.22,-84.5409,0.0,bottom
J2,136.8,-39.091372,180.0,bottom
J3,109.0,-54.24995,0.0,bottom
J4,148.18495,-63.09015,90.0,bottom
L1,66.6,-73.0,0.0,bottom
MK1,136.93,-44.188,180.0,bottom
R1,90.7,-48.9,0.0,bottom
R10,67.5,-77.7,0.0,bottom
R11,65.3,-43.1,90.0,bottom
R12,64.9,-64.2,270.0,bottom
R13,68.3,-64.2,90.0,bottom
R15,66.2,-52.1,270.0,bottom
R16,133.05,-46.25,0.0,bottom
R17,133.05,-44.75,180.0,bottom
R18,133.05,-43.15,0.0,bottom
R2,86.24,-79.88,0.0,bottom
R20,99.35,-56.0,270.0,bottom
R3,83.5,-78.0,270.0,bottom
R4,69.1,-86.2,270.0,bottom
R5,69.1,-83.2,90.0,bottom
R6,86.6,-71.3,90.0,bottom
R7,88.1,-71.3,270.0,bottom
R8,104.4,-69.4,180.0,bottom
R9,70.8,-77.7,0.0,bottom
RN1,145.840874,-43.375189,270.0,bottom
RN3,146.58,-54.72,0.0,bottom
SW1,70.725071,-56.642929,0.0,top
SW10,79.233,-83.0,0.0,top
SW11,130.233,-74.2,0.0,top
SW12,130.233,-83.0,0.0,top
SW13,87.745071,-56.642929,0.0,top
SW14,87.753,-65.4,0.0,top
SW15,87.753,-74.2,0.0,top
SW16,87.733,-83.0,0.0,top
SW17,138.745071,-56.642929,0.0,top
SW18,138.753,-65.4,0.0,top
SW19,96.245071,-56.642929,0.0,top
SW2,70.733,-65.4,0.0,top
SW20,96.253,-65.4,0.0,top
SW21,96.233,-74.2,0.0,top
SW22,96.233,-83.0,0.0,top
SW23,138.753,-74.2,0.0,top
SW24,138.733,-83.0,0.0,top
SW25,104.745071,-56.642929,0.0,top
SW26,104.753,-65.4,0.0,top
SW27,104.753,-74.2,0.0,top
SW28,104.733,-83.0,0.0,top
SW29,147.225071,-56.642929,0.0,top
SW3,70.753,-74.2,0.0,top
SW30,147.253,-65.4,0.0,top
SW31,113.245071,-56.642929,0.0,top
SW32,113.253,-65.4,0.0,top
SW33,113.253,-74.2,0.0,top
SW34,113.213,-83.0,0.0,top
SW35,147.253,-74.2,0.0,top
SW37,121.725071,-56.642929,0.0,top
SW38,121.753,-65.4,0.0,top
SW39,121.733,-74.2,0.0,top
SW40,121.733,-83.0,0.0,top
SW43,63.275,-50.9,270.0,bottom
SW5,130.225071,-56.642929,0.0,top
SW6,130.233,-65.4,0.0,top
SW7,79.245071,-56.642929,0.0,top
SW8,79.233,-65.4,0.0,top
SW9,79.253,-74.2,0.0,top
U1,77.75,-47.29,0.0,bottom
U2,75.8,-70.9,180.0,bottom
U3,86.06,-82.67,180.0,bottom
U4,76.0,-64.6,270.0,bottom
U5,151.665874,-44.974874,270.0,bottom
U6,90.71,-76.54,270.0,bottom
U7,66.8,-67.7,0.0,bottom
Y1,82.8,-63.95,90.0,bottom
