Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C4, C5, C6, C7, C8, C9",0402,9,1uF,CL05A105KA5NQNC
C11,0805,1,4.7uF,CL21A475KAQNNNE
"C12, C2",0402,2,4.7uF,CL05A475MP5NRNC
"C13, C14",0402,2,0.1uF,CL05B104KO5NNNC
"D1, D2, D3",D_SOD-123,3,MBR0530,MBR0530
J2,AFE03-S25FMA-1H,1,~,AFE03-S25FMA-1H
J3,TouchSlider-9_50x10mm,1,CapacitiveTouch,
J4,AFC01-S12FCA-00,1,Conn_01x12_Pin,AFC01-S12FCA-00
L1,L_Cenker_CKCS5020,1,10uH,SWPA5020S100MT
Q1,SOT-323_SC-70,1,Si1308EDL,Si1308EDL
R1,0603,1,1R,0603WAF100KT5E
R2,0805,1,10k,0805W8F1002T5E
R3,0603,1,75k,0603WAF7502T5E
RN1,R_Array_Concave_4x0603,1,4x10k,4D03WGJ0103T5E
U1,UQFN-20_3x3mm_P0.4mm,1,MPR121QR2,MPR121QR2
